アイヌ系	アイヌ、アイヌ民族
合いの子	混血、混血人
青姦	野合
アカ	共産主義者
明盲	非識字者
足切り	予備選抜、二段階選抜
足を洗う	更生する
当て馬	交代要員
アメ公	アメリカ人
あらめん	初対面
アル中	アルコール中毒、アルコール依存症
按摩	マッサージ師、あんま師
家柄	結婚、就職の条件にするような表現は不可
イカサマ	にせもの
躄	足の悪い人、足の不自由な人
伊勢乞食	伊勢の人を罵っていう語
イタ公	イタリア人
板前	調理師
いちゃもん	言い掛かり
田舎	東京との対比として使わない
犬殺し	野犬捕獲員、狂犬病予防技術員
移民	海外移住者
イモ	田舎者、なるべく使わない
インチキ	ごまかし
インディアン嘘つかない	逆の「クレタ人は嘘つきだ」はOK
淫売	売春
裏日本	日本海側
うんこ	大便、うんち
運ちゃん	運転手
エスキモー	イヌイット
穢多	江戸期の差別階級、使わない
越後の米つき	なるべく使わない
エチゼンクラゲ	大型クラゲ
エディター	編集者
ＯＬ	女子社員、女子事務員、社会努めの女性
オールドミス	未婚のまま婚期を過ぎた女性に対して差別、使わない
オカマ	ゲイ、同性愛者、トランスジェンダー、クィアはOKですがその正確性に気をつけよう
沖仲士	香港労働者
唖	口の不自由な人、ろう者、ろうあ者
落人部落	落人村
落ちこぼれ	授業についていけない子ども、学業・成績不振の子ども
落とし前	金銭の絡んだ決着
溺れ死ぬ	溺れて死ぬ
お巡り	警察官、お巡りさん、巡査
表日本	太平洋側
親方	チーフ、班長
おわい屋	清掃員、作業員
女子供	女性や子供を軽んじる意を持つから、なるべく使わない
女の腐ったような	使わない
隠坊	火葬場従業員
外人	外国人
カエルの子はカエル	凡人の子は凡人だ、子は親に似る
蛙の子は蛙	凡人の子は凡人だ、子は親に似る
ガキ	子ども
確信犯	故意犯
拡張員	セールススタッフ、セールスマン
拡張団	セールスチーム
拡張団長	セールスチーム代表、セールスチームマネージャー、セールスチームリーダー
家系	なるべく使わない、「適性は家系と深くかかわる」などは不可
過去帳	檀家の記録
ガサ	捜索
かさっかき	性病患者
片足	片方の足
片親	母子家庭、父子家庭
片手落ち	気配りに欠ける、不公平
片肺	片翼（飛行機の片方のエンジンしか動かない状態から）
片目	片方の目、隻眼、独眼
片輪	身体障害者
がちゃ目	斜視
担ぎ屋	行商人
かったい	ハンセン病
がっぷり４つ	かっぷり（「四つ」が被差別部落を連想させるからか）
がっぷり四つかっぷり（「四つ」が被差別部落を連想させるからか）
カッペ	田舎者を蔑んでいう語、（田舎兵衛の略）
上方の贅六	江戸の者が関西人をあざけっていった称、なるべく使わない
借腹	代理母？
借り腹	代理母？
皮被り	包茎
皮切り	手始め
川向こう	被差別部落民に対しての語からか？
河原乞食	芝居役者
看護婦	看護師
姦通	不倫行為
キ印	精神障害者
キチ	マニア
キチガイ	使わない
気違い	使わない
気違い沙汰	絶対に使わない
気違いに刃物	絶対に使わない
ぎっちょ	左利き
給仕	ボーイ、接客係
灸を据える	お仕置き、制裁
狂気	なるべく使わない
狂気の沙汰	なるべく使わない
狂女	精神障害者
狂人	精神障害者
漁夫	漁民、漁船員
クーリー	労働者
苦力	労働者
屑屋	廃品回収業者、資源交換業
愚鈍	使わない
首切り	解雇、人員整理
汲み取り屋	清掃員、作業員
狂う	使わない
クロ	黒人
黒んぼ	黒人
くわえ込む	卑俗に聞こえる、なるべく使わない
クン二	クンニリングスの略から？
群盲像をなでる	凡人を見下ろす語、なるべく使わない
芸人	芸能人
ゲーセン	五千円、ゲームセンター（こっちの意味の場合はOK?）
下女	お手伝いさん
血統	結婚、就職の文脈では使わない
毛唐	白人
下男	お手伝いさん
健全なる精神は健全なる身体に宿る	誤訳から？
ゲンナマ	現金、キャッシュ
強姦	乱暴、暴行
後進国	開発途上国、発展途上国
興信所	民間調査機関、調査会社
業病	悪業の報いでかか辛い病気の意なので使用に注意
鉱夫	鉱山労働者、鉱員
工夫	労働者、作業員
坑夫	鉱山労働者、鉱員
紅毛人	白人
黒人	不必要な場合は使わない。肌の色だけで決めない
虚仮	精神障害者
孤児院	児童養護施設
乞食	ホームレス
小僧	店員
小使い	用務員
子供	子ども
小人	妖精、ドワーフ
ゴミ屋	廃品回収業者、資源交換業
コロシ	殺人
魚屋	鮮魚商
ザギン	銀座
サツ	警察
サラ金	消費者金融
サラブレッド	サラブレッドには厳格な血統登録が行われ、1頭1頭に全て血統書が存在するから使用に注意
三韓征伐	三韓出兵
三国人	中国人、韓国人
三助	浴場従業員
産婆	助産師
色盲	色覚異常
シナ	中国
志那	中国
支那人	中国人
支那そば	中華そば、ラーメン
支那蕎麦	中華そば、ラーメン
支那竹	メンマ（メンマは世代によって他方が通じない場合がある）
支那料理	中国料理、中華料理
士農工商	身分社会、階級制度
ジプシー	ロマ
自閉症児	自閉症の子ども
シマ	縄張り
地回り	暴力団員
ジャップ	日本人
ジャリ	子ども
ジュー	ユダヤ人
獣医	獣医師
周旋屋	周旋業者、土地斡旋業者
酋長	部族長、首長
嬢	「○嬢」の場合、「○手」に
将棋倒しになる	折り重なるように倒れる
情婦	愛人
情夫	愛人
女給	ホステス、ウエイトレス
植物人間	植物状態人間
女傑	女流、女性
女工	女子工員、女子従業員
助産婦	助産師
処女作	第一作
処女峰	未踏峰
女中	お手伝いさん
職工	工員、工場従業員
しらっこ	白皮症
尻拭い	後始末
心障児	心身障害児
心障者	心身障害者
親平民	賤民だった人に対しての蔑称
ズージャー	ジャズ
スケ	女、情夫
すけこまし	漁色家、プレイボーイ
スチュワーデス	フライトアテンダント、客室乗務員
滑り止め	併願校、安全校
ずらかる	逃げる
スラム	使わない、貧民街もなるべく使わない？
正妻	比喩的用法は注意
精神異常	精神障害
精神分裂病	統合失調症
精薄	精神薄弱児
傴僂	猫背
鮮人	朝鮮人
潜水夫	潜水作業員
千摺り	自慰行為、オナニー
線路工夫	保線員、保線区員
掃除婦	清掃作業員
掃除夫	清掃作業員
雑役夫	用務員、校務員
育ちより氏	使わない、逆も注意
氏より育ち	使わない、逆も注意
第三国	中国、韓国など
代書屋	行政書士
台湾政府	台湾当局（本政府は台湾政府を認めていないため）
台湾ハゲ	禿頭病
タケノコ医者	なるべく使わない、やぶ以下の医者の意
タコ部屋	窮屈な作業員宿舎
蛸部屋	窮屈な作業員宿舎
タタキ	強盗
ダッチマン	オランダ人
玉袋筋太郎	知恵袋賢太郎（NHKの場合）
他力本願	他人任せは誤用
垂れ流す	流しっぱなしにする（公害問題は例外）
知恵遅れ	知的障害
近目	近視
血筋	結婚、就職などの文脈では要注意
チビ	使わない
痴呆症	認知症
チャリンコ	スリ
チャンコロ	中国人
中共	中華人民共和国　中国
朝鮮征伐	朝鮮出兵
朝鮮人参	高麗人参
チョン	韓国人
跛	足の悪い人、足の不自由な人
釣り書き	自己紹介書
連れ子	お子さん
聾	耳の不自由な人
聾桟敷	きこえないところ
低開発国	開発途上国、発展途上国
低脳	学習障害、学習困難
低脳児	学習障害児、学習困難児
デカ	刑事
出稼ぎ	季節労働者
丁稚	店員
出戻り	使わない（結婚した女性が離婚して生家に帰るの意）
天才と狂人は紙一重	なるべく使わない
手ん棒	隻腕
土方	労働者、作業員
特殊学級	身障児学級
特殊学校	特殊教育学校
特殊部落	同和地区
土建屋	土建業者、建設業者
土工	労働者、作業員
床屋	理容師、理髪師、利用業、理髪店
土左衛門	水死人
屠殺	食肉解体
屠殺場	屠畜場
屠殺人	食肉市場職員、屠畜場従業員
どさ回り	地方巡業
土人	原住民
共稼ぎ	共働き
吃	言語障害者、吃音
ドヤ	犯人の隠れやすい宿
ドヤ街	簡易宿泊街
富山の三助	なるべく使わない
トルコ嬢	ソープレディ
トルコ風呂	ソープランド
どん百姓	農民、農家の人、お百姓さん
ナオン	女、情婦
南鮮	大韓民国、韓国
南部の鯉の鼻まがり	南部人（盛岡）を蔑んでいう語
ニガー	黒人
ニグロ	黒人
二号	愛人
ニコヨン	自由労働者
日本のチベット	過疎地対、辺地、高山地帯
人足	労働者、作業員
人非人	人でなし
人夫	労働者、作業員
ネコババ	なるべく使わない
猫糞	なるべく使わない
農夫	農民、農業、農家
脳膜炎	精神障害者
